       1       0   10462    1.9717    2  179    2  187
    -1    0.102   -0.258      0.031  0.010    -4.24    -2.59    -0.25     1.88
     1   -3.527    3.164     -1.932  0.010    -5.02    -1.95    -0.72     2.47
     1   -1.805    0.820      3.335  0.010    -5.55    -2.06     3.54     4.68
    -3   -0.026    1.065     -0.193  0.199    -3.74    -0.99     0.15     2.66
    -1   -0.209    1.081      0.574  0.010     0.31     7.57     2.40     4.47
     2   -0.040    0.107     -0.039  0.006     1.60     3.05    -4.62     5.80
    -1    0.017    0.034      0.078  0.010     1.11    -0.87     2.96     4.94
     2   -1.088   -1.476      0.261  0.006    -2.34    -3.87    -0.55     3.20
     3    0.053   -0.535     -0.066  0.199    -0.04    -1.36    -1.68     6.43
    -2   -0.067   -0.094     -0.012  0.006    -2.67    -1.59    -6.12    10.04
     3   -0.237    0.248     -0.165  0.199    -4.06     4.87    -0.03     0.06
    -2   -1.273    3.666     -2.984  0.006    -4.06     4.87    -0.03     0.06
    -1   -0.389   -0.127     -0.033  0.010    -3.71    -3.63    -0.25     1.64
     2   -0.041   -0.176      0.010  0.006    -1.79    -5.90    -0.30     4.63
     3    0.463   -0.529      0.664  0.199     5.17    -0.73     7.08     8.57
    -1    0.132   -0.066      0.134  0.010     2.89     2.82     2.57     3.65
    -1   -2.529    0.011     -1.687  0.010    -6.24    -1.54    -1.26     2.85
     2   -0.206    0.210      0.399  0.006    -5.77    -1.48     1.40     2.87
     1    0.243   -0.193     -0.259  0.010     0.72     1.71    -6.28     8.24
    -1    0.114    0.181     -0.147  0.010     0.95     4.45    -0.36     2.61
     2    1.902   -1.200     -0.012  0.006     3.75    -3.25     0.00     0.84
    -2    0.610   -0.067      0.114  0.006     3.35    -2.99     0.02     0.35
    -2    0.026    0.142     -0.015  0.006    -0.43     4.37     3.38     4.52
     2   -0.013   -0.096      0.040  0.006    -6.09     0.49    -0.93     8.50
     1   -0.002   -0.381      0.335  0.010    -1.21    -2.40     0.54     3.77
     2   -0.329   -0.323     -0.034  0.006    -3.43    -2.60    -1.44     5.49
     2   -0.924    0.170     -0.602  0.006    -4.95     0.33    -1.03     5.71
    -2   -0.162    0.190      0.269  0.006     2.85     2.21     5.96     8.47
    -1    0.174    0.061     -0.113  0.010     3.01     3.44     0.02     0.09
    -1    0.502   -0.175      0.143  0.010     4.34     1.96     0.72     2.20
     2    0.532   -0.332     -2.354  0.006     4.41    -0.53   -12.53    13.36
    -1    0.381    0.014     -0.025  0.010     5.17     3.19     0.42     2.33
     3   -0.708    0.795      0.394  0.199     1.50     3.85     2.49     4.32
    -3    0.135    0.340      0.714  0.199     2.11     7.86    12.70    17.65
     2    0.103   -0.433     -0.146  0.006    -1.83    -4.48     0.53     1.93
    -2   -0.202   -0.952     -3.893  0.006    -3.65    -7.56   -26.47    27.59
    -1    0.289    0.044     -0.051  0.010     3.57     0.99    -1.16     6.02
    -2    0.431    0.599     -0.940  0.006     2.44     4.79    -1.71     2.20
    -2    1.090    0.675     -0.931  0.006     3.65     5.58    -2.33     3.67
     1   -0.204   -0.023      0.092  0.010    -6.19     4.41    -0.15     6.71
    -3    0.122    0.254     -0.573  0.199    -1.87     2.56    -5.37     6.91
    -1    0.127   -0.197     -0.050  0.010     2.46    -4.84    -1.78     2.78
     1    0.316   -1.934      1.962  0.010     3.04    -4.88     0.58     1.81
    -2   -0.253   -0.078     -0.625  0.006    -3.06    -4.14   -10.40    11.67
     2    0.229    0.405     -0.266  0.006     2.62     4.10   -13.61    15.29
     1    0.230   -1.284      0.110  0.010     6.83    -1.81     0.41     4.15
     2   -0.122    0.111      0.029  0.006     3.77     6.10     2.12     5.97
     2    0.339   -0.215     -0.419  0.006     8.70    -0.83    -2.53     5.45
    -1   -0.478   -0.038     -0.351  0.010    -3.32    -0.67     0.98     3.87
     1    0.270   -0.025      0.884  0.010    -0.66     2.07     3.38     4.03
     3    0.207    0.164      0.408  0.199     0.74     1.23    -1.68     5.10
    -1   -0.065    0.108      0.053  0.010    -2.87    -0.69    -1.37     5.66
    -3   -0.218   -0.005     -0.320  0.199    -4.33     0.90    -0.45     1.51
     3   -0.142    0.436     -0.139  0.199    -5.22     0.18    -0.06     0.94
     2    0.020    0.204      0.153  0.006     4.70     3.25     5.69    11.06
    -2    0.328    0.046      0.304  0.006     2.59    -2.52     0.25     1.47
    -2    0.037   -0.030     -0.017  0.006    -1.68    -3.63     4.73     9.64
     3    0.186    0.119      0.086  0.199     1.11     2.78     1.72     4.43
    -2   -0.376    0.174     -0.484  0.006    -4.24     5.22    -1.49     2.49
     2   -0.859    0.352     -0.308  0.006    -3.38     4.97    -0.49     0.86
     1   -0.360   -0.361      0.244  0.010     3.29    -4.11     0.20     0.76
     2    0.281    0.143     -0.625  0.006     4.29    -2.05    -2.86     4.18
     1   -0.038   -0.126     -0.066  0.010     2.07    -1.51     2.63     5.34
    -2   -0.310    0.226      1.023  0.006     1.42    -0.37     4.65     5.97
     2    0.034   -0.009      0.080  0.006     4.74     2.98    -2.36     6.28
    -2    0.124   -0.149      0.156  0.006     2.43    -2.75     2.81     3.93
    -3   -0.326   -1.141      0.341  0.199     2.98    -3.84     0.54     1.66
    -3    0.277    0.159      0.068  0.199    14.04     3.44     1.75    14.27
    -2   -0.197    0.213      0.344  0.006    -1.41     0.71     5.58     8.28
     1    0.084   -0.165     -1.220  0.010     3.53    -4.34   -21.78    23.44
    -2    0.405    0.447     -1.065  0.006     6.14     7.18   -12.04    13.80
     2    0.207    0.269      0.203  0.006     4.20     3.02    -0.10     2.40
     1   -0.107   -0.109     -0.101  0.010    -7.90     3.86    -8.60    13.38
    -3    0.203   -0.547     -0.399  0.199    -2.78    -4.84    -1.83     2.50
    -2    0.345    0.139      0.787  0.006     4.95     4.82     1.20     1.89
     1   -0.089    0.139      0.220  0.010     2.20     2.05     1.17     6.06
     1    0.319   -0.271     -0.889  0.010    -0.61    -6.68    -9.43    10.40
    -2   -0.179   -0.076      0.193  0.006    -7.12    -3.85     1.66     6.70
     3   -0.183   -0.221      1.323  0.199    -3.30     3.16    12.31    12.80
     2   -0.264    0.177      0.354  0.006    -3.07     3.91     1.94     2.55
     1   -0.016    0.069      0.044  0.010    -1.99     4.50    -0.07     1.66
     1    0.223   -0.162     -0.173  0.010    -0.62    -5.43    -3.60     5.22
     2    0.021   -0.121      0.122  0.006    -1.84    -3.86     0.26     0.51
     1    0.332   -0.321      0.304  0.010     0.17    -3.51     0.39     2.37
     1   -0.267   -0.604      0.851  0.010    -4.49    -1.59     2.87     4.41
    -2   -0.130   -0.226      0.136  0.006    -6.06    -1.87     2.94     5.49
    -1    0.133    0.223      0.463  0.010     2.24    -0.42     4.40     7.10
    -2   -0.088   -0.090     -0.154  0.006    -2.69    -5.32    -0.49     6.27
    -1    0.193   -0.925     -0.214  0.010     2.13    -3.87    -0.66     1.86
     1    0.417   -0.182      0.005  0.010     1.88    -1.92    -0.38     2.05
     2   -0.062   -0.024     -0.470  0.006    -0.21     0.64    -4.94     7.65
     2    0.389    0.189      0.077  0.006     1.90    -0.94    -0.36     2.44
     1   -0.108   -0.119     -0.067  0.010    -5.25     0.46    -4.05     8.13
    -3   -0.441    0.722     -1.146  0.199    -3.50     4.39    -8.15    10.23
     2    0.222   -0.024     -1.097  0.006     3.38     3.86   -12.88    14.37
    -2    0.124    0.243     -0.332  0.006    -1.78     1.60   -18.18    19.45
     1    0.101   -0.087     -0.730  0.010     0.32     1.74    -6.49     8.74
    -2    0.005    0.085      0.054  0.006     2.82     3.91     1.21     3.09
     1   -0.123    0.040     -0.074  0.010    -2.09     1.20    -3.70     6.81
     2    0.272   -0.061      0.302  0.006     0.79    -4.10     6.58     7.84
     2    0.192    0.138      0.203  0.006     1.92    -2.35     0.49     1.80
     2    0.213   -0.271     -0.067  0.006     2.85    -1.76     1.76     3.99
    -3   -0.212   -0.061      1.455  0.199    -0.11    -2.29    13.08    13.33
    -2   -0.139   -0.332      0.172  0.006    -2.86    -4.33     1.90     2.50
    -2    1.055   -0.318     -0.154  0.006    -1.05    -5.16    -0.55     4.68
    -2   -0.064   -0.095      0.032  0.006    -1.44    -1.32    -1.22     7.02
     2   -1.544    1.097     -0.176  0.006    -5.76     4.14    -0.00     0.09
    -1   -0.370   -0.098      0.048  0.010    -5.76     4.14    -0.00     0.09
    -2    0.173   -0.088      0.201  0.006     1.60     0.02     9.89    12.33
     2   -0.468    1.521      4.388  0.006     0.60     3.34     1.26     1.50
     2   -0.179    0.058      0.297  0.006    -1.43    -3.71     2.85     6.75
    -1    0.048   -0.189      0.921  0.010    -2.25    -3.22     1.45     1.83
     2   -0.084   -0.055     -0.016  0.006   -16.82   -13.64     0.35    21.29
    -2   -0.334   -0.094     -0.074  0.006    -5.04     1.55    -0.40     2.91
    -1   -0.978    0.155      1.187  0.010    -1.04     3.81     1.51     2.77
     2   -0.333    0.324      1.552  0.006    -0.91     3.94     4.55     5.11
    -2    0.328   -0.247      0.275  0.006     0.46    -0.06     1.59     3.51
    -1   -0.062    0.453     -0.421  0.010    -1.04    -0.12    -3.31     4.85
    -1    0.044    0.013      0.518  0.010     0.00    -1.22     2.24     3.04
     3    0.277   -0.167     -0.421  0.199     5.80    -2.63    -6.56     9.45
    -2    0.102    0.085      0.067  0.006     2.27    -0.84    -2.33     3.78
     2    0.093   -0.060     -0.273  0.006     9.58    -9.14   -35.85    38.61
    -3   -0.048    0.280      0.201  0.199     0.90     1.70     2.74     6.08
     3    2.331    1.798     -3.298  0.199     4.28    -1.49    -1.42     2.13
    -1   -0.173   -0.166      0.396  0.010    -0.75    -3.49     6.75     8.69
     2   -0.193    0.463      0.259  0.006    -3.25     0.79     1.81     5.72
     3   -0.097   -0.203     -0.682  0.199    -1.15    -1.03    -6.58     8.31
     2    0.174   -0.149      0.057  0.006     5.18    -4.91     1.61     7.92
    -3    0.033   -0.385     -0.011  0.199    -3.88    -0.48    -0.43     1.27
     2   -0.071   -1.264      0.503  0.006    -2.81    -2.46     0.22     3.03
    -2   -0.192   -0.123     -0.209  0.006    -0.04     4.33    -3.38     7.38
     1    0.517   -0.059     -0.064  0.010     2.07     2.20    -1.28     2.14
     1    0.013    0.036      0.044  0.010     1.08     4.56     2.49     5.83
     2    0.099   -0.013     -0.040  0.006     4.13     1.74    -0.69     1.27
     3    0.181    0.012      0.237  0.199     2.43     4.17     5.47     8.52
    -2   -0.097    1.257     -0.095  0.006     2.14     5.73    -0.03     0.09
     3   -0.137    0.931     -0.860  0.199     2.14     5.73    -0.03     0.09
     1   -0.015   -0.291      0.208  0.010    -1.55    -3.58     4.59     9.64
    -1   -0.009   -0.380     -0.353  0.010     0.05    -2.70    -1.56     2.07
    -1   -0.233   -0.183      0.104  0.010    -5.86    -0.86    -1.37     4.78
     1   -0.145    0.776     -0.480  0.010    -3.15     0.88     0.04     1.74
     2   -0.666    1.174      0.339  0.006    -0.14     6.24     0.30     0.86
    -1    0.068    0.114     -0.039  0.010     0.23     5.97     0.17     1.26
    -3   -0.001    0.348     -0.035  0.199    -1.50     1.17    -1.28     5.03
     2    0.009    0.087     -0.199  0.006     3.44     9.34   -33.14    37.08
    -2    0.081    0.261      0.463  0.006     1.05     5.83     0.27     1.36
     1    1.581    1.328     -0.343  0.010     0.54     5.94    -0.14     0.63
    -1   -0.228   -0.164     -1.807  0.010    -2.50    -2.19   -16.29    16.75
    -1    0.305    0.091     -0.249  0.010    -1.09    -1.93    -2.50     4.23
    -1   -0.102    0.015      0.319  0.010    -2.60     0.37     5.25     7.74
    -1   -0.426    0.700      2.659  0.010    -2.84     7.16     9.45    10.12
     2    0.080    0.082      0.183  0.006    -2.65     6.62    14.98    15.44
