# Baryons: yproj=  0.740 ycut/yproj=  1.000
# time(fm/c) N(det) px(dir) v1 v2 eps eps(t) px^2 py^2 pt^2 alp Edir N(det-all) N(all) px(dir) v1 v2
# 1          2      3       4  5  6   7      8    9    10   11  12         13     14      15 16
   0.00  3.93E+02 -2.15E-05 -3.83E-03 -2.37E-02 -2.32E-02 -2.32E-02  1.10E-02  1.18E-02  1.34E-01  1.20E-02  1.00E+00  3.94E+02  1.00E+00  1.29E-18 -4.29E-03 -2.31E-02
   0.30  3.93E+02 -1.00E-04 -4.27E-03 -2.40E-02 -2.32E-02 -2.30E-02  1.10E-02  1.18E-02  1.34E-01  1.20E-02  1.00E+00  3.94E+02  1.00E+00 -7.86E-05 -4.72E-03 -2.34E-02
   0.60  3.93E+02 -7.82E-05 -3.97E-03 -2.42E-02 -2.32E-02 -2.31E-02  1.10E-02  1.19E-02  1.35E-01  1.21E-02  1.00E+00  3.94E+02  1.00E+00 -5.65E-05 -4.42E-03 -2.36E-02
   0.90  3.93E+02 -5.28E-05 -3.75E-03 -2.42E-02 -2.32E-02 -2.31E-02  1.11E-02  1.19E-02  1.35E-01  1.21E-02  1.00E+00  3.94E+02  1.00E+00 -3.13E-05 -4.21E-03 -2.37E-02
   1.20  3.93E+02 -2.02E-04 -4.25E-03 -2.45E-02 -2.33E-02 -2.30E-02  1.12E-02  1.24E-02  1.36E-01  1.24E-02  1.00E+00  3.94E+02  1.00E+00 -1.80E-04 -4.71E-03 -2.39E-02
   1.50  3.93E+02 -3.60E-04 -5.61E-03 -2.51E-02 -2.35E-02 -2.31E-02  1.13E-02  1.26E-02  1.36E-01  1.25E-02  1.00E+00  3.94E+02  1.00E+00 -3.37E-04 -6.06E-03 -2.45E-02
   1.80  3.93E+02 -7.60E-04 -6.02E-03 -2.43E-02 -2.34E-02 -2.33E-02  1.17E-02  1.30E-02  1.37E-01  1.29E-02  1.00E+00  3.94E+02  1.00E+00 -7.37E-04 -6.46E-03 -2.37E-02
   2.10  3.93E+02 -1.71E-03 -8.97E-03 -2.79E-02 -2.30E-02 -2.32E-02  1.21E-02  1.39E-02  1.40E-01  1.35E-02  1.00E+00  3.94E+02  1.00E+00 -1.72E-03 -9.50E-03 -2.75E-02
   2.40  3.93E+02 -1.91E-03 -1.02E-02 -3.09E-02 -2.32E-02 -2.34E-02  1.29E-02  1.49E-02  1.43E-01  1.43E-02  1.00E+00  3.94E+02  1.00E+00 -1.92E-03 -1.07E-02 -3.05E-02
   2.70  3.93E+02 -5.70E-04 -6.74E-03 -3.27E-02 -2.33E-02 -2.31E-02  1.33E-02  1.67E-02  1.46E-01  1.54E-02  1.00E+00  3.94E+02  1.00E+00 -5.49E-04 -7.21E-03 -3.19E-02
   3.00  3.93E+02 -2.12E-04 -5.13E-03 -3.36E-02 -2.30E-02 -2.28E-02  1.47E-02  1.80E-02  1.50E-01  1.66E-02  1.00E+00  3.94E+02  1.00E+00 -1.91E-04 -5.61E-03 -3.28E-02
   3.30  3.93E+02  8.62E-06 -3.64E-03 -3.34E-02 -2.26E-02 -2.26E-02  1.61E-02  1.92E-02  1.54E-01  1.78E-02  1.00E+00  3.94E+02  1.00E+00  2.89E-05 -4.13E-03 -3.26E-02
   3.60  3.93E+02  3.06E-04 -2.76E-03 -3.29E-02 -2.37E-02 -2.28E-02  1.76E-02  2.02E-02  1.58E-01  1.90E-02  1.00E+00  3.94E+02  1.00E+00  3.25E-04 -3.24E-03 -3.21E-02
   3.90  3.93E+02 -6.69E-04 -3.03E-03 -2.91E-02 -2.33E-02 -2.23E-02  1.95E-02  2.17E-02  1.63E-01  2.05E-02  1.00E+00  3.94E+02  1.00E+00 -5.75E-04 -3.30E-03 -2.82E-02
   4.20  3.93E+02 -3.80E-04  3.68E-03 -2.94E-02 -2.32E-02 -2.12E-02  2.18E-02  2.40E-02  1.70E-01  2.26E-02  1.00E+00  3.94E+02  1.00E+00 -2.58E-04  3.85E-03 -2.88E-02
   4.50  3.93E+02 -1.49E-04  4.25E-03 -3.09E-02 -2.17E-02 -2.05E-02  2.36E-02  2.68E-02  1.76E-01  2.47E-02  1.00E+00  3.94E+02  1.00E+00  1.09E-05  4.46E-03 -3.01E-02
   4.80  3.93E+02  1.00E-03  6.00E-03 -3.24E-02 -2.05E-02 -1.94E-02  2.54E-02  2.98E-02  1.83E-01  2.68E-02  1.00E+00  3.94E+02  1.00E+00  9.60E-04  5.25E-03 -3.13E-02
   5.10  3.93E+02  2.57E-04  3.35E-03 -2.65E-02 -2.01E-02 -1.94E-02  2.99E-02  3.30E-02  1.93E-01  3.01E-02  1.00E+00  3.94E+02  1.00E+00  2.02E-04  2.60E-03 -2.67E-02
   5.40  3.93E+02 -6.18E-04  2.55E-03 -2.90E-02 -2.00E-02 -1.94E-02  3.21E-02  3.67E-02  2.02E-01  3.29E-02  1.00E+00  3.94E+02  1.00E+00 -7.44E-04  1.98E-03 -2.97E-02
