# Mesons: yproj=  0.740 ycut/yproj=  1.000
# time(fm/c) N(det) px(dir) v1 v2 eps eps(t) px^2 py^2 pt^2 alp Edir N(det-all) N(all) px(dir) v1 v2
# 1          2      3       4  5  6   7      8    9    10   11  12         13     14      15 16
   0.00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E+00  0.00E+00  0.00E+00  0.00E+00
   0.30  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E+00  0.00E+00  0.00E+00  0.00E+00
   0.60  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E+00  0.00E+00  0.00E+00  0.00E+00
   0.90  1.00E-01 -1.64E-01 -9.99E-01  9.98E-01  6.78E-01  8.32E-01  2.68E-02  3.20E-05  1.64E-01  7.73E-02  1.00E+00  1.00E-01  1.00E+00 -1.64E-01 -9.99E-01  9.98E-01
   1.20  1.00E-01 -1.64E-01 -9.99E-01  9.98E-01  6.78E-01  9.69E-01  2.68E-02  3.20E-05  1.64E-01  7.73E-02  1.00E+00  1.00E-01  1.00E+00 -1.64E-01 -9.99E-01  9.98E-01
   1.50  1.00E-01 -1.22E-02 -1.05E-01 -9.78E-01 -9.99E-01 -9.98E-01  1.50E-04  1.35E-02  1.17E-01  4.24E-02  1.00E+00  1.00E-01  1.00E+00 -1.22E-02 -1.05E-01 -9.78E-01
   1.80  1.00E-01  2.61E-01  8.74E-01  5.27E-01 -6.06E-01 -5.84E-01  6.80E-02  2.11E-02  2.99E-01  1.90E-01  1.00E+00  1.00E-01  1.00E+00  2.61E-01  8.74E-01  5.27E-01
   2.10  1.00E-01  2.61E-01  8.74E-01  5.27E-01 -6.06E-01 -4.83E-01  6.80E-02  2.11E-02  2.99E-01  1.90E-01  1.00E+00  2.00E-01  1.00E+00  1.26E-01  4.18E-01 -2.35E-01
   2.40  3.00E-01  1.26E-01  7.89E-01  2.74E-01  3.79E-01  3.91E-01  1.70E-02  1.11E-02  1.61E-01  7.57E-02  1.00E+00  5.00E-01  1.00E+00  1.15E-01  6.59E-01  1.40E-01
   2.70  5.00E-01 -1.21E-01 -2.67E-01 -2.32E-01  4.39E-02  5.48E-02  4.10E-02  8.26E-02  3.44E-01  2.34E-01  1.00E+00  8.00E-01  1.00E+00 -4.75E-02 -3.89E-02 -2.79E-01
